session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time,round_number,timeout_happened,is_wait_page
9utu797p,1,01rowk8a,1,el_admin,A_Welcome,1602111350,1,0,0
9utu797p,3,ly8h7tut,1,el_admin,A_Welcome,1602111359,1,0,0
9utu797p,3,ly8h7tut,2,el_admin,B_PLS_Consent,1602111368,1,0,0
9utu797p,4,u83ckprm,1,el_admin,A_Welcome,1602111373,1,0,0
9utu797p,2,kbl83lpz,1,el_admin,A_Welcome,1602111423,1,0,0
9utu797p,4,u83ckprm,2,el_admin,B_PLS_Consent,1602111425,1,0,0
9utu797p,6,mjpar8j3,1,el_admin,A_Welcome,1602111434,1,0,0
9utu797p,5,e4now4nk,1,el_admin,A_Welcome,1602111436,1,0,0
9utu797p,2,kbl83lpz,2,el_admin,B_PLS_Consent,1602111473,1,0,0
9utu797p,6,mjpar8j3,2,el_admin,B_PLS_Consent,1602111481,1,0,0
9utu797p,1,01rowk8a,2,el_admin,B_PLS_Consent,1602111500,1,0,0
9utu797p,8,apnxdqi9,1,el_admin,A_Welcome,1602111506,1,0,0
9utu797p,7,adguz609,1,el_admin,A_Welcome,1602111519,1,0,0
9utu797p,8,apnxdqi9,2,el_admin,B_PLS_Consent,1602111540,1,0,0
9utu797p,9,w9gc1dxq,1,el_admin,A_Welcome,1602111549,1,0,0
9utu797p,5,e4now4nk,2,el_admin,B_PLS_Consent,1602111580,1,0,0
9utu797p,10,tr84uffm,1,el_admin,A_Welcome,1602111584,1,0,0
9utu797p,7,adguz609,2,el_admin,B_PLS_Consent,1602111592,1,0,0
9utu797p,12,rb6suu11,1,el_admin,A_Welcome,1602111604,1,0,0
9utu797p,9,w9gc1dxq,2,el_admin,B_PLS_Consent,1602111604,1,0,0
9utu797p,14,lcqfjnek,1,el_admin,A_Welcome,1602111621,1,0,0
9utu797p,13,s7fcp6yi,1,el_admin,A_Welcome,1602111640,1,0,0
9utu797p,14,lcqfjnek,2,el_admin,B_PLS_Consent,1602111640,1,0,0
9utu797p,12,rb6suu11,2,el_admin,B_PLS_Consent,1602111647,1,0,0
9utu797p,16,k9rf73ds,1,el_admin,A_Welcome,1602111664,1,0,0
9utu797p,10,tr84uffm,2,el_admin,B_PLS_Consent,1602111665,1,0,0
9utu797p,15,qhc0ccp1,1,el_admin,A_Welcome,1602111666,1,0,0
9utu797p,11,g7l3pf12,1,el_admin,A_Welcome,1602111676,1,0,0
9utu797p,17,eecsmep8,1,el_admin,A_Welcome,1602111681,1,0,0
9utu797p,18,rqawlhul,1,el_admin,A_Welcome,1602111701,1,0,0
9utu797p,18,rqawlhul,2,el_admin,B_PLS_Consent,1602111716,1,0,0
9utu797p,16,k9rf73ds,2,el_admin,B_PLS_Consent,1602111733,1,0,0
